feature,mean_shap,std_shap,t_stat,p_value,p_two,log_or,group
Z20,7.3801993e-06,0.00030319227,3.4424286,0.0005776954672094,2.8939284871292132,3.1319096490304372,Z
H10.32,2.4459865e-07,1.0077011e-05,3.4327116,0.0005987870712258,3.36862369899534,0.5349620627706201,H
J30.1,-1.2868203e-07,5.3146646e-06,-3.4241836,0.0006178862307768,3.150416141107673,-0.0887424628059223,J
H52.22,3.5346406e-07,1.4689384e-05,3.4029586,0.0006679101507618,3.2558789164074087,0.7856408489043177,H
F80.2,-2.097518e-05,0.00087526004,-3.3890936,0.0007025942038849,3.3932771423194428,-3.688899553806853,F
E73,2.3488315e-06,9.872671e-05,3.3645902,0.000768014682275,2.8507494924658308,2.792649799184207,E
Z46.82,5.5092937e-07,2.3205263e-05,3.357565,0.0007877887909586,3.246776471613736,1.0318751388359773,Z
P00,-1.0481024e-06,4.436094e-05,-3.3413193,0.000835339518034,3.03314976775597,-2.443810931978448,P
J98.4,-4.227451e-07,1.7906901e-05,-3.3386672,0.0008433506394989,2.7144923218106567,-0.9648757542791069,J
Q75.9,9.806133e-07,4.169338e-05,3.3261795,0.000882037422432,3.199432894523911,2.268470720203084,Q
F81.9,-1.0160137e-05,0.00043492383,-3.303706,0.0009558340640993,2.9814519192004267,-3.2451634949887858,F
R11,-1.0618172e-06,4.5658628e-05,-3.2888339,0.0010077711739104,2.8488128977724867,-2.5967095549385637,R
R06.9,-2.2352093e-07,9.717559e-06,-3.2529397,0.0011440712327257,3.1401596605611712,-0.5465282228042836,R
R45.89,1.6139818e-06,7.0253824e-05,3.2489548,0.0011602108941357,2.8900754247985976,2.477333098838495,R
P28,-1.0762071e-06,4.686675e-05,-3.2474766,0.0011662511659871,2.9521688868006493,-2.3016960571906635,P
J02.9,9.603655e-07,4.19132e-05,3.2404153,0.0011955082108263,2.892864281622525,2.15839369818212,J
F80.0,-8.387053e-06,0.0003669114,-3.2326832,0.001228321913711,3.2320834828537683,-3.4580501173604015,F
R62.0,3.2119453e-05,0.0014090553,3.2237036,0.0012674724507961,2.765730512832242,3.9379195614330884,R
H35.10,4.8948476e-07,2.1571615e-05,3.2090132,0.0013340140665445,2.9032914508874335,1.3262329823215022,H
Q5,-4.0192973e-07,1.7727943e-05,-3.2063193,0.0013465606115852,2.58154965151465,-0.9732225197716644,Q
L,-2.82691e-07,1.2472739e-05,-3.2052739,0.0013514590238388,2.946029150108035,-0.6233016721734086,L
Q64,-1.00697484e-07,4.4506883e-06,-3.1996794,0.0013779518986813,2.7333576967998567,-0.1625547679257634,Q
P01,4.6346142e-07,2.0546207e-05,3.1900458,0.0014246970792666,2.787814613887974,1.0860253683129115,P
F98,4.94996e-07,2.1969685e-05,3.1863456,0.0014430373618135,2.8536087915385684,1.3489563080613263,F
W01.0X,1.4451591e-06,6.4200074e-05,3.1834288,0.0014576476403869,2.933230814071026,2.3428746459403165,other
F43,3.090459e-07,1.374412e-05,3.1799555,0.0014752230568995,2.7032885220346747,0.7913192531052369,F
K40.20,-7.8936125e-07,3.5170393e-05,-3.1740487,0.001505561692829,2.7556692008535952,-1.9691961824147004,K
P94,1.7779491e-06,7.957292e-05,3.1598685,0.0015807552494633,3.0774257085170786,2.571564766001571,P
