code,log_or,p_two,group
R63.3,5.894153326123178,2.35028818549335,R
L08.89,0.10335388783270341,-0.005171100714206758,L
J06.0,-1.1946100692868005,0.20039605085460274,J
H65.06,5.352572300805866,1.4809072259054203,H
J39,5.956524997581818,1.887684869223082,J
J30.89,5.401338443072061,1.8185562219018006,J
L72.0,4.46134021580025,1.1096283343922835,L
Z68.51,4.242894703780429,1.5436073546518054,Z
H57.13,-1.7934663531821489,0.678896263966409,H
R06.1,4.782977768227769,1.7001964845441166,R
P74.4,4.017090498471047,1.1688975445214962,P
L03.11,-0.10767323919146207,-0.1559189105087699,L
H65.49,1.7416536116953492,0.7459931528632961,H
H90,4.6480828429825705,1.3024231747744737,H
R45,4.060615905326787,1.4032357522453447,R
Z38,0.38944475877803275,-0.13082771830811338,Z
R22,5.959231899345564,2.275943047870731,R
H04.55,0.8083467216533063,0.3031618036697828,H
P81.9,3.7802021315610586,1.4152891192923256,P
H35,5.548755803750993,1.6090059858549188,H
P07.30,5.074768918358473,1.4805064330590612,P
P28.4,4.938955546499273,1.2069062336425747,P
P02.60,-0.3689098377424036,-0.13042598282170745,P
H74.8X,3.1028529475893665,0.8391197302498408,H
H10.9,-1.1782779144132076,-0.12193163562862636,H
Z63,3.8231656729997727,1.440834530706869,Z
R20.3,4.0535920856312675,1.1717488951889208,R
P07.15,3.9360232756183358,0.9486843973794201,P
R89,4.025182247269566,0.969386105255857,R
R78.81,5.253450858605645,1.3676073711735837,R
Z13.6,4.257071650287393,1.2524004961316193,Z
P13.4,-0.6187263283471591,-0.03098828292721667,P
H69.83,4.979572510437905,1.6292770031790238,H
J45.30,4.054514835641984,0.9097363190542597,J
H65.05,3.9461888213980347,0.7707019813211492,H
P03.89,2.1247214069643103,0.5725166083254143,P
R62.52,5.111151064202629,1.464477766988987,R
P00.0,4.945976930536238,1.4840980501947303,P
H66.43,2.8814741574836678,1.0104999416978084,H
R82.99,0.9774557776891253,0.2357457557544575,R
H51.9,4.52947458358212,1.2760364627532934,H
Z13.29,5.670387482550261,1.426433303098873,Z
L20,1.40677531717392,0.5819131673721367,L
R09.81,4.776861711879729,2.0632312165639464,R
H65.02,6.741310890188431,2.20036356034282,H
R13,5.241920229583711,1.6906588564179406,R
H11,0.9704057608792425,0.06188355250273392,H
R49,4.121183564518168,1.0374499105284387,R
Z39,-0.07450326322634479,0.25841047955035934,Z
R59,2.0648966795405848,0.4134039096704933,R
H66.42,5.8927182735423225,1.877336533351442,H
Z84.89,5.015907556705285,1.5029429954030555,Z
Z86.69,4.889008077743386,1.6618973651380753,Z
Z87.01,4.769398449010433,1.2404613771801334,Z
R50.81,1.5199012731028072,0.2705925717614515,R
Z04,3.22758995154212,0.89136531633631,Z
H65.03,4.6501322926190625,1.9069110979748727,H
L81.8,5.220667476589354,1.7883728470194202,L
H65.23,4.933816478200046,1.9852478075689588,H
J45,0.9111102721131054,0.019384394406217142,J
H92,1.440098261991391,-0.006038105196572607,H
Z88.0,2.038072758908789,0.7472317793405112,Z
Z45,4.908214735491534,1.7199812035807074,Z
L24.9,4.665035575409439,1.1096863037769422,L
J03.90,-0.2723310766963901,0.10732606981877377,J
J30,0.5798116430927608,-0.2484573147292074,J
J45.21,1.5711445418812022,0.4235437682435443,J
H50.01,4.88157406221458,1.4659132916945203,H
J98.4,5.512757609334192,2.108321254899906,J
P03,1.8952536829752895,0.35582987736113103,P
L85.8,4.590921712988808,1.0225709692898581,L
J09,2.062425132943449,0.48190066084109845,J
P83.5,4.139655665044307,1.2173488402571233,P
P80,3.9837273364791406,1.0762899461687623,P
H10.89,0.30035835236097624,-0.11295554434421569,H
Z01.20,0.6110336480965077,0.0871386633259684,Z
Z20.82,4.4082189669856815,1.2902391773438904,Z
R07,1.2187577235388891,0.22449759922349338,R
J06.9,0.3974039303437947,-0.1380049401658544,J
R13.10,5.7782665383238845,1.593712073087562,R
P29,5.2314992661242785,1.9217515196314114,P
P07.18,4.504023955991628,1.5435957860299072,P
H04.20,2.7034361709573913,0.7256766792383349,H
R11.2,2.1460304787490276,0.04961764401354163,R
J10.1,0.4355846004153941,0.10999122122771218,J
R11.12,3.2849783337733176,0.6435329973487228,R
L03,0.4185301805258773,-0.18387101689185417,L
P28,5.053647821583232,1.6687607258601034,P
P12.81,4.075467404108398,0.9813071014939687,P
Z00.8,0.3023790749947653,0.005643813249012634,Z
R94.31,4.075563257112018,1.4267990761312799,R
R91,6.040019271171104,2.0296777441728264,R
Z82.5,3.5522924991111657,1.2680212085149625,Z
Z98,5.450519534552472,1.7983932876498643,Z
R09.89,6.440177641751523,2.542378029561307,R
J35.01,1.7180902010227912,0.6702920159633219,J
H60.51,0.16608868282424744,0.042848411188090664,H
L24,3.4018005717052215,1.0469977931424364,L
L50.1,0.7447844513537867,0.05968914029286497,L
R23.3,6.1920062418979445,1.9241724387129528,R
J98,3.4474270976310035,1.1176609500616594,J
P07.34,5.049087553060708,1.241729000166913,P
P70.0,4.135783474838422,0.9827667907383513,P
P96.83,1.1216697224174474,0.2383938794824516,P
H92.20,0.6145267599989072,0.20363045843158328,H
R20,4.429401559447474,0.9860270133677327,R
J04.2,0.755856758890522,0.10067858464394039,J
L21.8,4.312178718434432,1.5549456701376911,L
H57.02,4.565714318941891,1.1293285899139034,H
R41.82,4.829097101091617,1.395328883376661,R
J80,4.219818207980142,1.251231651178282,J
J05,0.4596440560791598,-0.014178302370692557,J
L30.5,1.3038439839908738,0.00422656861637194,L
