feature,beta_true,logOR_true,a,b,c,d,a_obs,b_obs,c_obs,d_obs,logOR_naive,se_naive,p_naive,logOR_lambda,se_lambda,p_lambda,a_hat,b_hat,c_hat,d_hat
72,-0.025122171021929728,-0.024597489559173395,148965,151197,150648,149190,164456,135706,165232,134606,-0.012846233621709429,0.005189471936075667,0.0133071601332651,-0.024285886420408524,0.005291725508498485,4.445052414107089e-06,143082.59740259737,142785.97402597402,144661.81818181815,140898.18181818182
73,0.023307422519631145,0.02418776940892538,150724,148864,149322,151090,165239,134349,164633,135779,0.014261778400948808,0.005189804876790745,0.0059953152306477,0.026959195339624598,0.005291800612710957,3.496219924353895e-07,144804.41558441555,140517.4891774892,143274.54545454544,142832.12121212122
74,0.007852753091427361,0.006315142664946242,150258,150464,149064,150214,165470,135252,164498,134780,0.002395606988441466,0.005189942742703429,0.6443779490112711,0.004528148560866053,0.0052917208037274645,0.39216132825056804,144635.32467532463,141766.5800865801,143618.1818181818,141408.48484848486
75,0.027757921706165214,0.025201301002191874,150964,148901,149209,150926,165466,134399,164820,135315,0.010704135474254747,0.005190507305145306,0.03918372459528292,0.020229427363918254,0.0052918768555151865,0.00013198116537329498,145073.24675324673,140512.46753246753,143758.44155844153,142084.41558441558
76,-0.010696117567022198,-0.006776401784841035,149483,150253,150255,150009,164885,134851,164887,135377,0.0038808698211390655,0.005189592679075705,0.45457005925357297,0.007336400248043655,0.005291658880228081,0.1656222371704802,144083.89610389606,141378.96103896105,143813.2467532467,142152.46753246753
77,-0.04591245996985558,-0.04708208731949383,148190,151744,151787,148279,164365,135569,165863,134203,-0.019199673628207153,0.005190444750445856,0.00021641470823198644,-0.036286533642161466,0.0052920051281914425,7.039098379587205e-12,143035.5844155844,142615.84415584416,145690.6493506493,140086.4935064935
78,-0.003408558877041741,0.0022652391431582635,149972,149386,150445,150197,164909,134449,165382,135260,0.0031497505695134587,0.005190510498170683,0.5439646210728268,0.005952575247288475,0.005291828546361218,0.2606476445120609,144323.89610389608,140778.96103896105,144516.88311688308,141808.83116883118
79,-0.013813480095063314,-0.01009311606292908,149063,150515,150241,150181,164424,135154,165518,134904,-0.008482920569789576,0.005189896948488779,0.10215253148986336,-0.01603462933118654,0.005291741876225341,0.002444540761950299,143327.79220779217,141984.58874458875,144878.44155844153,141237.74891774892
80,0.0240225300056651,0.030479153499032224,151323,148900,148814,150963,165781,134442,164340,135437,0.016103842243709816,0.0051902376674401295,0.0019175246109845352,0.030437164705259694,0.005291904761818055,8.837852647748503e-09,145459.99999999997,140466.6666666667,143071.68831168828,142430.21645021645
81,0.0059994943763473805,0.007801453384150911,150440,149474,149941,150145,165590,134324,164976,135110,0.009549281501653083,0.005190999006086259,0.06582925630895776,0.01804418930390958,0.005291973915812356,0.0006502780328525242,145273.24675324673,140359.13419913422,144067.53246753244,141728.658008658
82,-0.05053001533917036,-0.04034817620079174,148318,151360,151666,148656,164292,135386,165827,134495,-0.015902625330848207,0.005190233309468666,0.0021843401014220577,-0.030056881759452436,0.00529190162867845,1.3486143561183784e-08,143035.84415584413,142371.7748917749,145492.20779220774,140528.7445887446
83,-0.03703077364193323,-0.0303856960165477,148740,151359,150920,148981,164084,136015,165625,134276,-0.02221541956670808,0.005189562723473397,1.862324252753237e-05,-0.041998614149763365,0.005291924299632967,2.08201824840673e-15,142438.96103896102,143369.6103896104,145343.63636363635,140276.36363636365
