feature,beta_true,a,b,c,d,logOR_hat,se_wald,p_wald,neglog10p
1187,0.0051547403155443195,150521,149498,149885,150096,0.008226323096809719,0.005163984846420617,0.1111560538272444,0.9540668795941352
1188,-0.02282803767831115,149631,150933,150594,148842,-0.020365831804939602,0.005164046774318846,8.020935524370482e-05,4.09577497468631
1189,-0.015470642966676357,149476,150276,150716,149532,-0.013224568917110942,0.005164000215017654,0.01043967024513435,1.981313219052175
1190,-0.017824886934427235,149513,150445,150795,149247,-0.01653281516848653,0.005164016063552358,0.00136694067793985,2.8642503323980906
1191,0.005834621790886559,150419,150120,149427,150034,0.006043694715146089,0.005163984112205946,0.24185812992216005,0.6164393094705263
1192,-0.00490005113607027,150523,149835,149673,149969,0.006556877568506551,0.0051639808920186285,0.20417971104440635,0.6899874151346552
1193,0.02032187124038502,150280,149375,149505,150840,0.014930083566019816,0.005164009869086289,0.003837978709418873,2.415897438773957
1194,0.04772324415284596,151883,147897,148272,151948,0.05108416397231989,0.0051643924433702635,4.526810553248976e-23,22.344207680322548
1195,0.021732457412015526,150839,149122,149224,150815,0.022053593829447996,0.005164047833643482,1.949458961925117e-05,4.710085902716088
1196,-0.037986315089259926,148866,150753,152004,148377,-0.036746545101298676,0.005164212631716603,1.114154910665069e-12,11.953054421218154
1197,-0.050311813751827764,148597,151804,152042,147557,-0.05129435703952475,0.005164410501102012,3.0129454850797817e-23,22.521008726190306
1198,-0.02340581793811552,149298,150708,151113,148881,-0.02428037246402732,0.005164069173987325,2.5788976427702614e-06,5.588565894799723
1199,0.032632681429144314,151707,148775,148505,151013,0.03626310870920246,0.005164189249142906,2.1866245097349412e-12,11.660225788224784
1200,-0.01038108735458752,149669,150692,150384,149255,-0.014347551970058482,0.005164006234934131,0.005463132840934652,2.262558239100379
1201,-0.020683987285314776,149395,150743,150805,149057,-0.02064135468409076,0.005164039654789886,6.411421050962829e-05,4.1930457011843965
1202,0.004284528347625183,149967,149741,150330,149962,-0.0009428109710830324,0.0051639743061240705,0.8551317505944116,0.06796696813958449
1203,-0.0438584674311359,148235,151769,151838,148158,-0.04809550650708702,0.0051643426334847115,1.2427538772207648e-20,19.90561487324794
1204,-0.035300778335180846,148746,150915,151129,149210,-0.027255587330788037,0.005164092847174169,1.3066974321110836e-07,6.883824962363401
1205,0.01581185498386006,150166,149390,149721,150723,0.011851126248065832,0.005163997858206503,0.02173588596926513,1.6628226529784995
1206,-0.009392867435025227,149454,151080,150314,149152,-0.01858130201746047,0.005164034564757029,0.00032040980335893375,3.494294204574205
1207,-0.014043011340113667,149702,150980,150684,148634,-0.022198672813543527,0.005164066498438877,1.718178149435619e-05,4.764931808312877
1208,0.00984156130578393,150259,149262,149758,150721,0.01306706486477104,0.00516400333661003,0.011392810298307956,1.943369133997857
1209,-0.01812157143676454,149995,150490,150319,149196,-0.010793465439611101,0.005163997612496807,0.03660544331033988,1.436454329253972
1210,-0.021263950351907982,149411,151112,149957,149520,-0.014238761667347888,0.005164021077653595,0.0058280634663161685,2.2344757275058873
1211,-0.014246696815278764,149302,150099,150568,150031,-0.008896816399349262,0.005163992760036745,0.08491455176278295,1.0710178785576787
1212,0.018671516045687408,150770,149451,149045,150734,0.02005527024032788,0.005164036502122805,0.00010290329103479551,3.987570735486394
1213,0.001853452918555344,149748,149930,149804,150518,0.0035402563971891664,0.0051639799287343255,0.49298593217138564,0.30716547355747614
1214,-0.03701325240696765,148734,151653,151289,148324,-0.03922825468890701,0.0051642218450296895,3.050476568868915e-14,13.515632306534572
1215,-0.009389875063397021,149630,150725,149898,149747,-0.00829923592603767,0.00516399027044162,0.10802448419531681,0.9664777987187685
1216,0.020084483774072733,150907,149791,148913,150389,0.017285733970805503,0.005164032376438393,0.0008159324763256061,3.088345780428218
1217,0.057963128965854,152358,147576,147811,152255,0.06151182845651155,0.005164580756941303,1.0457054818960072e-32,31.980590615275613
1218,-0.035394543895695005,148131,151351,150968,149550,-0.03094163078590471,0.005164155094351756,2.077669133990582e-09,8.682423612083468
1219,0.010489132447626882,150416,149648,149671,150265,0.009079739037432324,0.005163982825491781,0.078699506332294,1.1040279918827784
1220,-0.00801702213572597,149826,150600,149988,149586,-0.007836481102792663,0.005163985279454186,0.12913397437972102,0.8889594824081931
1221,0.025577784245955085,151401,149206,148923,150470,0.024938296386379205,0.00516408299321749,1.3709509555074095e-06,5.862978081412884
1222,0.013928951522798234,150150,149809,149556,150485,0.008466123640823912,0.005163983279924392,0.10111831625867115,0.995170170525852
1223,0.045613733170810467,151120,148163,148772,151945,0.04086474851579473,0.0051642536714997,2.5125575583818065e-15,14.599883980516218
1224,0.016094597549455858,150916,149316,149357,150411,0.01769059990139166,0.005164023341972057,0.0006131276095435723,3.2124491268633983
1225,-0.016889718240468175,149743,150280,150296,149681,-0.007680023878971416,0.005163978765635077,0.13695408852551239,0.8634249981119928
1226,-0.016687699275754458,149653,150430,150152,149765,-0.007759268404082488,0.005163980188994135,0.13294863061934517,0.876316131574421
1227,0.012565510567896256,150386,149357,149857,150400,0.010482779255853893,0.005163990529269655,0.04235893130949035,1.3730550054164405
1228,0.012236867162715836,151086,149914,149153,149847,0.012429522176919684,0.005164024362809386,0.016086596102585615,1.7935358421815972
1229,0.07429736882086706,153336,147039,147004,152621,0.07943139619925585,0.005164994456629395,2.271319537920179e-53,52.64372176327325
1230,0.05193926964773948,151788,148333,147454,152425,0.05618128589776986,0.005164495610602643,1.4615557634618872e-27,26.835184610137684
1231,-0.03636199531374504,148435,151745,151733,148087,-0.046376632290503636,0.00516431805449245,2.702639341006354e-19,18.568211905711326
1232,0.010851318411678974,150245,149149,149834,150772,0.013562190817131389,0.005164009603973281,0.008632104052524058,2.0638833332504625
1233,-0.04123918155254498,147654,151848,151579,148919,-0.0457125763664367,0.005164330909757535,8.627568547073482e-19,18.06411158150069
1234,-0.05129927235057081,148100,152751,151211,147938,-0.05280419279700371,0.005164452679269942,1.5394489951703254e-24,23.812634695512344
1235,0.023037930245813847,151203,149333,149264,150200,0.018695720044755188,0.005164039959134969,0.0002941854000661863,3.531378884389003
1236,0.017095272054359345,151014,149694,149499,149793,0.010743938700956138,0.005164009635265426,0.03747585162236238,1.4262484892151006
1237,-0.032178846170996867,148424,151041,151710,148825,-0.03667784287742723,0.005164194934209327,1.2266636513400962e-12,11.911274503606988
1238,0.050927770904300854,152009,148435,147925,151631,0.04853696505634743,0.005164355188238625,5.536958105903325e-21,20.256728762463116
1239,-0.030288896453662378,148945,151424,151433,148198,-0.03810067701202651,0.005164211611033431,1.6088982676456924e-13,12.79347141593634
1240,-0.036180740584598386,148623,150881,151406,149090,-0.030493266662832377,0.005164126311819251,3.530194116837928e-09,8.452201413152212
1241,0.0202206360239302,150449,149513,149361,150677,0.015013039151680306,0.005164006634714687,0.0036462598509071856,2.4381523845582183
1242,0.0068455304647329325,150419,150081,149219,150281,0.009341403232778392,0.005163994250463629,0.07045889689997771,1.1520641603884236
1243,-0.004973158517482659,149710,150274,150469,149547,-0.009906530164497522,0.0051639859512441644,0.05506179510119625,1.2591496340281279
1244,-0.002077958831399701,149978,150075,150044,149903,-0.0015867133409692188,0.005163969689144368,0.7586407608961065,0.11996382686300984
1245,0.006934213899298563,149694,150045,149543,150718,0.005484507312706361,0.005163992667177101,0.2882051721486093,0.5402982295753087
1246,-0.0043247276821528615,149962,150059,150048,149931,-0.0014266713134727918,0.0051639695323234475,0.7823375058335789,0.10660584885903313
1247,-0.005344867855937284,149654,150885,149477,149984,-0.004805891428936587,0.00516400285036517,0.3520334214098797,0.45341610343986555
1248,-0.05874406944268574,147478,152480,152243,147799,-0.06297890375644047,0.005164611573147105,3.3329218242911714e-34,33.47717487286126
1249,-0.04157915217447357,148255,151698,151537,148510,-0.04313531794398743,0.005164270769945152,6.675131507712832e-17,16.1755401737819
1250,0.018929580089861064,150711,149226,148671,151392,0.028038755425987008,0.005164107097891874,5.649768861805709e-08,7.247969319277142
1251,-0.021821964955352813,148632,151042,151122,149204,-0.028857355883843493,0.005164108424954231,2.296182264642165e-08,7.63899364180253
1252,0.01689219530403339,150254,149076,149792,150878,0.015094800128327064,0.005164018910960411,0.003465961356993693,2.4601762836699836
1253,0.038279448852951335,151351,149082,148055,151512,0.038186028558661295,0.005164220289293417,1.4210657994393655e-13,12.847385812521626
1254,-0.010997749116458596,149606,150003,150556,149835,-0.007450516732966569,0.005163983271604665,0.14908109348789184,0.8265774304203726
1255,0.00876749800497379,150513,149261,150038,150188,0.009352223920641351,0.005163993511566469,0.07013390740198451,1.1540719643830122
1256,0.06433726957732648,152678,147180,147695,152447,0.06834223123638546,0.005164727608493341,5.6964647270093064e-40,39.244394587464114
1257,0.021531793354930533,151382,149168,149142,150308,0.0225208309727248,0.005164067406632358,1.2943120984683917e-05,4.887960989278162
